	pielou_evenness
14989.skin.hip.CMU.16.03.2016.02.25.day1	0.729005010546812
14989.skin.hip.CMU.16.03.2016.3.day10	0.7060555830098397
14989.skin.hip.CMU.16.03.2016.3.day11	0.7466365477943605
14989.skin.hip.CMU.16.03.2016.3.day12	0.8241552182713422
14989.skin.hip.CMU.16.03.2016.3.day13	0.7855805381760677
14989.skin.hip.CMU.16.03.2016.3.day15	0.7253651008143815
14989.skin.hip.CMU.16.03.2016.3.day16	0.7536685796654871
14989.skin.hip.CMU.16.03.2016.3.day17	0.6182692097574446
14989.skin.hip.CMU.16.03.2016.3.day18	0.5878384404263931
14989.skin.hip.CMU.16.03.2016.3.day2	0.617909648009557
14989.skin.hip.CMU.16.03.2016.3.day20	0.7411512209017521
14989.skin.hip.CMU.16.03.2016.3.day21	0.7584622284023982
14989.skin.hip.CMU.16.03.2016.3.day5	0.8127490537533103
14989.skin.hip.CMU.16.03.2016.3.day8	0.7247502827042134
14989.skin.hip.CMU.16.03.2016.3.day9	0.6881374323284918
14989.skin.hip.CMU.16.04.2016.mo.day1	0.6026302736087351
14989.skin.hip.CMU.16.04.2016.mo.day11	0.5454687366308512
14989.skin.hip.CMU.16.04.2016.mo.day13	0.6766634470287012
14989.skin.hip.CMU.16.04.2016.mo.day15	0.7960266987855557
14989.skin.hip.CMU.16.04.2016.mo.day16	0.6838182146235235
14989.skin.hip.CMU.16.04.2016.mo.day17	0.7815890163506827
14989.skin.hip.CMU.16.04.2016.mo.day18	0.7693062915788139
14989.skin.hip.CMU.16.04.2016.mo.day19	0.7799408550302663
14989.skin.hip.CMU.16.04.2016.mo.day20	0.8000455025621125
14989.skin.hip.CMU.16.04.2016.mo.day9	0.691597809550424
14989.skin.hip.CMU.16.05.2016.mo.day1	0.7809255393380268
14989.skin.hip.CMU.16.05.2016.mo.day10	0.7924974364572357
14989.skin.hip.CMU.16.05.2016.mo.day11	0.76466891826358
14989.skin.hip.CMU.16.05.2016.mo.day12	0.7511557603225412
14989.skin.hip.CMU.16.05.2016.mo.day13	0.6840549706986201
14989.skin.hip.CMU.16.05.2016.mo.day14	0.8750497841469501
14989.skin.hip.CMU.16.05.2016.mo.day15	0.8385353193782825
14989.skin.hip.CMU.16.05.2016.mo.day16	0.8237811931658788
14989.skin.hip.CMU.16.05.2016.mo.day17	0.6823490526785062
14989.skin.hip.CMU.16.05.2016.mo.day18	0.6623494435305923
14989.skin.hip.CMU.16.05.2016.mo.day19	0.670022471421566
14989.skin.hip.CMU.16.05.2016.mo.day2	0.8180009258838596
14989.skin.hip.CMU.16.05.2016.mo.day20	0.7824938337042153
14989.skin.hip.CMU.16.05.2016.mo.day21	0.5904115085927036
14989.skin.hip.CMU.16.05.2016.mo.day3	0.7725921606929514
14989.skin.hip.CMU.16.05.2016.mo.day4	0.8164592351279452
14989.skin.hip.CMU.16.05.2016.mo.day8	0.7781181101419439
14989.skin.hip.CMU.16.05.2016.mo.day9	0.8287105038954116
14989.skin.hip.UTK.K016.01.2016.04.07.day3	0.9435035787688957
14989.skin.hip.UTK.K016.01.2016.04.11.day7	0.7808412169464994
14989.skin.hip.UTK.K016.01.2016.04.12.day8	0.7048958970548377
14989.skin.hip.UTK.K016.01.2016.04.13.day9	0.7572301233760401
14989.skin.hip.UTK.K016.01.2016.04.14.day10	0.7158360202226
14989.skin.hip.UTK.K016.01.2016.04.15.day11	0.7966402496847115
14989.skin.hip.UTK.K016.01.2016.04.16.day12	0.6491814234217846
14989.skin.hip.UTK.K016.02.2016.04.13.day1	0.32600774985590963
14989.skin.hip.UTK.K016.02.2016.04.14.day2	0.5703894657356495
14989.skin.hip.UTK.K016.02.2016.04.15.day3	0.5936780660827808
14989.skin.hip.UTK.K016.02.2016.04.16.day4	0.7888911124912747
14989.skin.hip.UTK.K016.02.2016.04.17.day5	0.7748232938550581
14989.skin.hip.UTK.K016.02.2016.04.18.day6	0.8247536721725658
14989.soil.hip.CMU.16.03.2016.3.day1	0.7521567222365831
14989.soil.hip.CMU.16.03.2016.3.day11	0.726269897215104
14989.soil.hip.CMU.16.03.2016.3.day12	0.601340887150275
14989.soil.hip.CMU.16.03.2016.3.day13	0.7309922570165212
14989.soil.hip.CMU.16.03.2016.3.day14	0.8686940976993777
14989.soil.hip.CMU.16.03.2016.3.day16	0.8909929997967336
14989.soil.hip.CMU.16.03.2016.3.day19	0.7668161853400727
14989.soil.hip.CMU.16.03.2016.3.day2	0.6866652409312382
14989.soil.hip.CMU.16.03.2016.3.day20	0.8846787416227503
14989.soil.hip.CMU.16.03.2016.3.day21	0.7663182405747088
14989.soil.hip.CMU.16.03.2016.3.day3	0.8179336391976562
14989.soil.hip.CMU.16.03.2016.3.day4	0.790284183246183
14989.soil.hip.CMU.16.03.2016.3.day5	0.9094503145301335
14989.soil.hip.CMU.16.03.2016.3.day7	0.8706517079535835
14989.soil.hip.CMU.16.03.2016.3.day8	0.854535228273416
14989.soil.hip.CMU.16.03.2016.3.day9	0.6490006536666745
14989.soil.hip.CMU.16.04.2016.mo.day1	0.7879158120267457
14989.soil.hip.CMU.16.04.2016.mo.day11	0.8383991370121765
14989.soil.hip.CMU.16.04.2016.mo.day12	0.7678322858353223
14989.soil.hip.CMU.16.04.2016.mo.day13	0.7795982500748974
14989.soil.hip.CMU.16.04.2016.mo.day14	0.8150192511061377
14989.soil.hip.CMU.16.04.2016.mo.day15	0.8246320777661574
14989.soil.hip.CMU.16.04.2016.mo.day16	0.8692185668931601
14989.soil.hip.CMU.16.04.2016.mo.day17	0.5161968374817094
14989.soil.hip.CMU.16.04.2016.mo.day18	0.8049091764930286
14989.soil.hip.CMU.16.04.2016.mo.day2	0.8043038220625959
14989.soil.hip.CMU.16.04.2016.mo.day21	0.7767292168030098
14989.soil.hip.CMU.16.04.2016.mo.day4	0.636240332408161
14989.soil.hip.CMU.16.04.2016.mo.day5	0.750750790577391
14989.soil.hip.CMU.16.04.2016.mo.day6	0.68150239706096
14989.soil.hip.CMU.16.04.2016.mo.day7	0.9468293876073838
14989.soil.hip.CMU.16.04.2016.mo.day8	0.8588240039141681
14989.soil.hip.CMU.16.04.2016.mo.day9	0.837643954400276
14989.soil.hip.CMU.16.05.2016.mo.day1	0.7652998969968828
14989.soil.hip.CMU.16.05.2016.mo.day10	0.7888049982965589
14989.soil.hip.CMU.16.05.2016.mo.day12	0.6899134756717612
14989.soil.hip.CMU.16.05.2016.mo.day13	0.8814061327994921
