	observed_features
14989.skin.hip.CMU.16.03.2016.02.25.day1	68
14989.skin.hip.CMU.16.03.2016.3.day10	54
14989.skin.hip.CMU.16.03.2016.3.day11	34
14989.skin.hip.CMU.16.03.2016.3.day12	30
14989.skin.hip.CMU.16.03.2016.3.day13	71
14989.skin.hip.CMU.16.03.2016.3.day15	38
14989.skin.hip.CMU.16.03.2016.3.day16	45
14989.skin.hip.CMU.16.03.2016.3.day17	26
14989.skin.hip.CMU.16.03.2016.3.day18	26
14989.skin.hip.CMU.16.03.2016.3.day2	35
14989.skin.hip.CMU.16.03.2016.3.day20	48
14989.skin.hip.CMU.16.03.2016.3.day21	48
14989.skin.hip.CMU.16.03.2016.3.day5	31
14989.skin.hip.CMU.16.03.2016.3.day8	36
14989.skin.hip.CMU.16.03.2016.3.day9	78
14989.skin.hip.CMU.16.04.2016.mo.day1	40
14989.skin.hip.CMU.16.04.2016.mo.day11	21
14989.skin.hip.CMU.16.04.2016.mo.day13	34
14989.skin.hip.CMU.16.04.2016.mo.day15	20
14989.skin.hip.CMU.16.04.2016.mo.day16	61
14989.skin.hip.CMU.16.04.2016.mo.day17	32
14989.skin.hip.CMU.16.04.2016.mo.day18	47
14989.skin.hip.CMU.16.04.2016.mo.day19	28
14989.skin.hip.CMU.16.04.2016.mo.day20	34
14989.skin.hip.CMU.16.04.2016.mo.day9	81
14989.skin.hip.CMU.16.05.2016.mo.day1	62
14989.skin.hip.CMU.16.05.2016.mo.day10	55
14989.skin.hip.CMU.16.05.2016.mo.day11	67
14989.skin.hip.CMU.16.05.2016.mo.day12	36
14989.skin.hip.CMU.16.05.2016.mo.day13	43
14989.skin.hip.CMU.16.05.2016.mo.day14	30
14989.skin.hip.CMU.16.05.2016.mo.day15	36
14989.skin.hip.CMU.16.05.2016.mo.day16	35
14989.skin.hip.CMU.16.05.2016.mo.day17	25
14989.skin.hip.CMU.16.05.2016.mo.day18	19
14989.skin.hip.CMU.16.05.2016.mo.day19	46
14989.skin.hip.CMU.16.05.2016.mo.day2	77
14989.skin.hip.CMU.16.05.2016.mo.day20	32
14989.skin.hip.CMU.16.05.2016.mo.day21	32
14989.skin.hip.CMU.16.05.2016.mo.day3	101
14989.skin.hip.CMU.16.05.2016.mo.day4	93
14989.skin.hip.CMU.16.05.2016.mo.day8	56
14989.skin.hip.CMU.16.05.2016.mo.day9	42
14989.skin.hip.UTK.K016.01.2016.04.07.day3	144
14989.skin.hip.UTK.K016.01.2016.04.11.day7	25
14989.skin.hip.UTK.K016.01.2016.04.12.day8	22
14989.skin.hip.UTK.K016.01.2016.04.13.day9	47
14989.skin.hip.UTK.K016.01.2016.04.14.day10	46
14989.skin.hip.UTK.K016.01.2016.04.15.day11	58
14989.skin.hip.UTK.K016.01.2016.04.16.day12	50
14989.skin.hip.UTK.K016.02.2016.04.13.day1	20
14989.skin.hip.UTK.K016.02.2016.04.14.day2	14
14989.skin.hip.UTK.K016.02.2016.04.15.day3	22
14989.skin.hip.UTK.K016.02.2016.04.16.day4	30
14989.skin.hip.UTK.K016.02.2016.04.17.day5	20
14989.skin.hip.UTK.K016.02.2016.04.18.day6	38
14989.soil.hip.CMU.16.03.2016.3.day1	47
14989.soil.hip.CMU.16.03.2016.3.day11	102
14989.soil.hip.CMU.16.03.2016.3.day12	58
14989.soil.hip.CMU.16.03.2016.3.day13	89
14989.soil.hip.CMU.16.03.2016.3.day14	106
14989.soil.hip.CMU.16.03.2016.3.day16	169
14989.soil.hip.CMU.16.03.2016.3.day19	72
14989.soil.hip.CMU.16.03.2016.3.day2	39
14989.soil.hip.CMU.16.03.2016.3.day20	111
14989.soil.hip.CMU.16.03.2016.3.day21	60
14989.soil.hip.CMU.16.03.2016.3.day3	80
14989.soil.hip.CMU.16.03.2016.3.day4	56
14989.soil.hip.CMU.16.03.2016.3.day5	120
14989.soil.hip.CMU.16.03.2016.3.day7	88
14989.soil.hip.CMU.16.03.2016.3.day8	92
14989.soil.hip.CMU.16.03.2016.3.day9	96
14989.soil.hip.CMU.16.04.2016.mo.day1	106
14989.soil.hip.CMU.16.04.2016.mo.day11	70
14989.soil.hip.CMU.16.04.2016.mo.day12	162
14989.soil.hip.CMU.16.04.2016.mo.day13	116
14989.soil.hip.CMU.16.04.2016.mo.day14	110
14989.soil.hip.CMU.16.04.2016.mo.day15	45
14989.soil.hip.CMU.16.04.2016.mo.day16	81
14989.soil.hip.CMU.16.04.2016.mo.day17	31
14989.soil.hip.CMU.16.04.2016.mo.day18	139
14989.soil.hip.CMU.16.04.2016.mo.day2	74
14989.soil.hip.CMU.16.04.2016.mo.day21	87
14989.soil.hip.CMU.16.04.2016.mo.day4	87
14989.soil.hip.CMU.16.04.2016.mo.day5	133
14989.soil.hip.CMU.16.04.2016.mo.day6	60
14989.soil.hip.CMU.16.04.2016.mo.day7	86
14989.soil.hip.CMU.16.04.2016.mo.day8	119
14989.soil.hip.CMU.16.04.2016.mo.day9	127
14989.soil.hip.CMU.16.05.2016.mo.day1	102
14989.soil.hip.CMU.16.05.2016.mo.day10	58
14989.soil.hip.CMU.16.05.2016.mo.day12	63
14989.soil.hip.CMU.16.05.2016.mo.day13	62
14989.soil.hip.CMU.16.05.2016.mo.day14	69
14989.soil.hip.CMU.16.05.2016.mo.day16	70
14989.soil.hip.CMU.16.05.2016.mo.day18	76
14989.soil.hip.CMU.16.05.2016.mo.day19	77
14989.soil.hip.CMU.16.05.2016.mo.day2	88
14989.soil.hip.CMU.16.05.2016.mo.day21	34
14989.soil.hip.CMU.16.05.2016.mo.day3	91
14989.soil.hip.CMU.16.05.2016.mo.day4	179
14989.soil.hip.SHSU.2016.007.2016.04.17.day3	68
14989.soil.hip.SHSU.2016.007.2016.04.18.day4	51
14989.soil.hip.SHSU.2016.007.2016.04.20.day6	32
14989.soil.hip.SHSU.2016.007.2016.04.21.day7	32
14989.soil.hip.SHSU.2016.011.2016.04.15.day1	82
14989.soil.hip.SHSU.2016.011.2016.04.16.day2	114
14989.soil.hip.SHSU.2016.011.2016.04.17.day3	26
14989.soil.hip.SHSU.2016.011.2016.04.18.day4	87
14989.soil.hip.SHSU.2016.011.2016.04.20.day6	27
14989.soil.hip.SHSU.2016.011.2016.04.21.day7	63
14989.soil.hip.SHSU.2016.024.2016.04.15.day1	91
14989.soil.hip.SHSU.2016.024.2016.04.17.day3	97
14989.soil.hip.SHSU.2016.024.2016.04.18.day4	63
14989.soil.hip.SHSU.2016.024.2016.04.20.day6	33
14989.soil.hip.SHSU.2016.024.2016.04.21.day7	49
14989.soil.hip.UTK.K016.01.2016.04.05.day1	103
14989.soil.hip.UTK.K016.01.2016.04.06.day2	152
14989.soil.hip.UTK.K016.01.2016.04.08.day4	90
14989.soil.hip.UTK.K016.01.2016.04.09.day5	60
14989.soil.hip.UTK.K016.01.2016.04.10.day6	105
14989.soil.hip.UTK.K016.01.2016.04.11.day7	183
14989.soil.hip.UTK.K016.01.2016.04.12.day8	155
14989.soil.hip.UTK.K016.01.2016.04.13.day9	117
14989.soil.hip.UTK.K016.01.2016.04.14.day10	116
14989.soil.hip.UTK.K016.01.2016.04.15.day11	49
14989.soil.hip.UTK.K016.01.2016.04.16.day12	61
14989.soil.hip.UTK.K016.01.2016.04.17.day13	42
14989.soil.hip.UTK.K016.01.2016.04.18.day14	34
14989.soil.hip.UTK.K016.01.2016.04.21.day17	66
14989.soil.hip.UTK.K016.01.2016.04.22.day18	102
14989.soil.hip.UTK.K016.01.2016.04.23.day19	38
14989.soil.hip.UTK.K016.01.2016.04.24.day20	66
14989.soil.hip.UTK.K016.01.2016.04.25.day21	63
14989.soil.hip.UTK.K016.02.2016.04.13.day1	115
14989.soil.hip.UTK.K016.02.2016.04.14.day2	134
14989.soil.hip.UTK.K016.02.2016.04.16.day4	186
14989.soil.hip.UTK.K016.02.2016.04.18.day6	109
14989.soil.hip.UTK.K016.02.2016.04.24.day12	115
14989.soil.hip.UTK.K016.02.2016.04.25.day13	146
14989.soil.hip.UTK.K016.02.2016.04.26.day14	62
14989.soil.hip.UTK.K016.02.2016.04.27.day15	111
14989.soil.hip.UTK.K016.02.2016.04.28.day16	64
14989.soil.hip.UTK.K016.02.2016.04.29.day17	97
14989.soil.hip.UTK.K016.02.2016.04.30.day18	58
14989.soil.hip.UTK.K016.02.2016.05.01.day19	98
14989.soil.hip.UTK.K016.02.2016.05.03.day21	101
14989.soil.hip.UTK.K016.03.2016.05.06.day1	142
14989.soil.hip.UTK.K016.03.2016.05.07.day2	225
14989.soil.hip.UTK.K016.03.2016.05.08.day3	159
14989.soil.hip.UTK.K016.03.2016.05.10.day5	92
14989.soil.hip.UTK.K016.03.2016.05.11.day6	115
14989.soil.hip.UTK.K016.03.2016.05.13.day8	90
14989.soil.hip.UTK.K016.03.2016.05.14.day9	94
14989.soil.hip.UTK.K016.03.2016.05.15.day10	131
14989.soil.hip.UTK.K016.03.2016.05.16.day11	46
14989.soil.hip.UTK.K016.03.2016.05.17.day12	124
14989.soil.hip.UTK.K016.03.2016.05.18.day13	89
14989.soil.hip.UTK.K016.03.2016.05.19.day14	97
14989.soil.hip.UTK.K016.03.2016.05.20.day15	75
14989.soil.hip.UTK.K016.03.2016.05.21.day16	142
14989.skin.hip.CMU.16.03.2016.3.day3	74
14989.skin.hip.CMU.16.04.2016.mo.day8	48
14989.skin.hip.SHSU.2016.007.2016.04.17.day3	77
14989.skin.hip.SHSU.2016.007.2016.04.18.day4	29
14989.skin.hip.SHSU.2016.007.2016.04.19.day5	31
14989.skin.hip.SHSU.2016.007.2016.04.20.day6	29
14989.skin.hip.SHSU.2016.007.2016.04.21.day7	39
14989.skin.hip.SHSU.2016.007.2016.04.22.day8	37
14989.skin.hip.SHSU.2016.007.2016.04.23.day9	42
14989.skin.hip.SHSU.2016.007.2016.04.24.day10	65
14989.skin.hip.SHSU.2016.007.2016.04.25.day11	51
14989.skin.hip.SHSU.2016.007.2016.04.26.day12	47
14989.skin.hip.SHSU.2016.007.2016.04.27.day13	48
14989.skin.hip.SHSU.2016.007.2016.04.28.day14	75
14989.skin.hip.SHSU.2016.007.2016.04.29.day15	74
14989.skin.hip.SHSU.2016.007.2016.04.30.day16	62
14989.skin.hip.SHSU.2016.007.2016.05.01.day17	78
14989.skin.hip.SHSU.2016.007.2016.05.02.day18	92
14989.skin.hip.SHSU.2016.007.2016.05.03.day19	97
14989.skin.hip.SHSU.2016.007.2016.05.04.day20	145
14989.skin.hip.SHSU.2016.007.2016.05.05.day21	66
14989.skin.hip.SHSU.2016.011.2016.04.15.day1	12
14989.skin.hip.SHSU.2016.011.2016.04.16.day2	28
14989.skin.hip.SHSU.2016.011.2016.04.17.day3	32
14989.skin.hip.SHSU.2016.011.2016.04.18.day4	37
14989.skin.hip.SHSU.2016.011.2016.04.19.day5	45
14989.skin.hip.SHSU.2016.011.2016.04.20.day6	46
14989.skin.hip.SHSU.2016.011.2016.04.21.day7	53
14989.skin.hip.SHSU.2016.011.2016.04.22.day8	74
14989.skin.hip.SHSU.2016.011.2016.04.23.day9	81
14989.skin.hip.SHSU.2016.011.2016.04.24.day10	72
14989.skin.hip.SHSU.2016.011.2016.04.25.day11	60
14989.skin.hip.SHSU.2016.011.2016.04.26.day12	61
14989.skin.hip.SHSU.2016.011.2016.04.27.day13	57
14989.skin.hip.SHSU.2016.011.2016.04.28.day14	111
14989.skin.hip.SHSU.2016.011.2016.04.29.day15	57
14989.skin.hip.SHSU.2016.011.2016.04.30.day16	113
14989.skin.hip.SHSU.2016.011.2016.05.01.day17	109
14989.skin.hip.SHSU.2016.011.2016.05.02.day18	68
14989.skin.hip.SHSU.2016.011.2016.05.03.day19	74
14989.skin.hip.SHSU.2016.011.2016.05.04.day20	79
14989.skin.hip.SHSU.2016.011.2016.05.05.day21	105
14989.skin.hip.SHSU.2016.024.2016.04.17.day3	109
14989.skin.hip.SHSU.2016.024.2016.04.18.day4	99
14989.skin.hip.SHSU.2016.024.2016.04.19.day5	53
14989.skin.hip.SHSU.2016.024.2016.04.20.day6	35
14989.skin.hip.SHSU.2016.024.2016.04.21.day7	33
14989.skin.hip.SHSU.2016.024.2016.04.22.day8	56
14989.skin.hip.SHSU.2016.024.2016.04.23.day9	85
14989.skin.hip.SHSU.2016.024.2016.04.24.day10	99
14989.skin.hip.SHSU.2016.024.2016.04.25.day11	68
14989.skin.hip.SHSU.2016.024.2016.04.26.day12	89
14989.skin.hip.SHSU.2016.024.2016.04.27.day13	123
14989.skin.hip.SHSU.2016.024.2016.04.28.day14	92
14989.skin.hip.SHSU.2016.024.2016.04.29.day15	49
