	shannon_entropy
14989.skin.hip.CMU.16.03.2016.02.25.day1	4.43779091278903
14989.skin.hip.CMU.16.03.2016.3.day10	4.063270450496068
14989.skin.hip.CMU.16.03.2016.3.day11	3.7984856928232427
14989.skin.hip.CMU.16.03.2016.3.day12	4.044039489857335
14989.skin.hip.CMU.16.03.2016.3.day13	4.83112165178721
14989.skin.hip.CMU.16.03.2016.3.day15	3.806663469855573
14989.skin.hip.CMU.16.03.2016.3.day16	4.139037122842294
14989.skin.hip.CMU.16.03.2016.3.day17	2.9061371500475985
14989.skin.hip.CMU.16.03.2016.3.day18	2.7630991532303346
14989.skin.hip.CMU.16.03.2016.3.day2	3.169433463541863
14989.skin.hip.CMU.16.03.2016.3.day20	4.139301776099988
14989.skin.hip.CMU.16.03.2016.3.day21	4.235983103840799
14989.skin.hip.CMU.16.03.2016.3.day5	4.026518363375074
14989.skin.hip.CMU.16.03.2016.3.day8	3.7469046063548963
14989.skin.hip.CMU.16.03.2016.3.day9	4.325220544039673
14989.skin.hip.CMU.16.04.2016.mo.day1	3.2071549839479854
14989.skin.hip.CMU.16.04.2016.mo.day11	2.3958718354848063
14989.skin.hip.CMU.16.04.2016.mo.day13	3.442500142790885
14989.skin.hip.CMU.16.04.2016.mo.day15	3.4403701537617324
14989.skin.hip.CMU.16.04.2016.mo.day16	4.055546217573323
14989.skin.hip.CMU.16.04.2016.mo.day17	3.9079450817534136
14989.skin.hip.CMU.16.04.2016.mo.day18	4.273180150729146
14989.skin.hip.CMU.16.04.2016.mo.day19	3.749452508343567
14989.skin.hip.CMU.16.04.2016.mo.day20	4.0702017655942
14989.skin.hip.CMU.16.04.2016.mo.day9	4.384626374873257
14989.skin.hip.CMU.16.05.2016.mo.day1	4.64978396501336
14989.skin.hip.CMU.16.05.2016.mo.day10	4.581712752205432
14989.skin.hip.CMU.16.05.2016.mo.day11	4.63854985935774
14989.skin.hip.CMU.16.05.2016.mo.day12	3.883418945268915
14989.skin.hip.CMU.16.05.2016.mo.day13	3.7118633777806984
14989.skin.hip.CMU.16.05.2016.mo.day14	4.293773556519934
14989.skin.hip.CMU.16.05.2016.mo.day15	4.335164712246197
14989.skin.hip.CMU.16.05.2016.mo.day16	4.225406883784403
14989.skin.hip.CMU.16.05.2016.mo.day17	3.168730871868001
14989.skin.hip.CMU.16.05.2016.mo.day18	2.8136124246876517
14989.skin.hip.CMU.16.05.2016.mo.day19	3.7009106328474592
14989.skin.hip.CMU.16.05.2016.mo.day2	5.12623719260494
14989.skin.hip.CMU.16.05.2016.mo.day20	3.9124691685210764
14989.skin.hip.CMU.16.05.2016.mo.day21	2.952057542963518
14989.skin.hip.CMU.16.05.2016.mo.day3	5.14408199580983
14989.skin.hip.CMU.16.05.2016.mo.day4	5.338956601297427
14989.skin.hip.CMU.16.05.2016.mo.day8	4.5188080368749795
14989.skin.hip.CMU.16.05.2016.mo.day9	4.468670088594994
14989.skin.hip.UTK.K016.01.2016.04.07.day3	6.7648498983654015
14989.skin.hip.UTK.K016.01.2016.04.11.day7	3.6261143185482303
14989.skin.hip.UTK.K016.01.2016.04.12.day8	3.1434350511740448
14989.skin.hip.UTK.K016.01.2016.04.13.day9	4.206102001459034
14989.skin.hip.UTK.K016.01.2016.04.14.day10	3.953964608076812
14989.skin.hip.UTK.K016.01.2016.04.15.day11	4.666703442606724
14989.skin.hip.UTK.K016.01.2016.04.16.day12	3.663886594865806
14989.skin.hip.UTK.K016.02.2016.04.13.day1	1.4089820532532673
14989.skin.hip.UTK.K016.02.2016.04.14.day2	2.1716751398584324
14989.skin.hip.UTK.K016.02.2016.04.15.day3	2.647466739180996
14989.skin.hip.UTK.K016.02.2016.04.16.day4	3.8710023808425778
14989.skin.hip.UTK.K016.02.2016.04.17.day5	3.3487305622853425
14989.skin.hip.UTK.K016.02.2016.04.18.day6	4.3282474880080395
14989.soil.hip.CMU.16.03.2016.3.day1	4.177921344049718
14989.soil.hip.CMU.16.03.2016.3.day11	4.845981667289093
14989.soil.hip.CMU.16.03.2016.3.day12	3.5226434885194653
14989.soil.hip.CMU.16.03.2016.3.day13	4.733710996539467
14989.soil.hip.CMU.16.03.2016.3.day14	5.844504788669965
14989.soil.hip.CMU.16.03.2016.3.day16	6.594131770067023
14989.soil.hip.CMU.16.03.2016.3.day19	4.731198353440337
14989.soil.hip.CMU.16.03.2016.3.day2	3.629301988033546
14989.soil.hip.CMU.16.03.2016.3.day20	6.01087527870426
14989.soil.hip.CMU.16.03.2016.3.day21	4.526558008494013
14989.soil.hip.CMU.16.03.2016.3.day3	5.170917653397125
14989.soil.hip.CMU.16.03.2016.3.day4	4.589460741398995
14989.soil.hip.CMU.16.03.2016.3.day5	6.281473824601388
14989.soil.hip.CMU.16.03.2016.3.day7	5.623915171175944
14989.soil.hip.CMU.16.03.2016.3.day8	5.574613505274952
14989.soil.hip.CMU.16.03.2016.3.day9	4.27364496733857
14989.soil.hip.CMU.16.04.2016.mo.day1	5.301034908208515
14989.soil.hip.CMU.16.04.2016.mo.day11	5.13878559191005
14989.soil.hip.CMU.16.04.2016.mo.day12	5.635773805403297
14989.soil.hip.CMU.16.04.2016.mo.day13	5.346469982848358
14989.soil.hip.CMU.16.04.2016.mo.day14	5.5269387151982015
14989.soil.hip.CMU.16.04.2016.mo.day15	4.528758229612845
14989.soil.hip.CMU.16.04.2016.mo.day16	5.5107153338249715
14989.soil.hip.CMU.16.04.2016.mo.day17	2.557340467685258
14989.soil.hip.CMU.16.04.2016.mo.day18	5.730100996348276
14989.soil.hip.CMU.16.04.2016.mo.day2	4.994287074894815
14989.soil.hip.CMU.16.04.2016.mo.day21	5.004422455436629
14989.soil.hip.CMU.16.04.2016.mo.day4	4.099260511485794
14989.soil.hip.CMU.16.04.2016.mo.day5	5.296758866199299
14989.soil.hip.CMU.16.04.2016.mo.day6	4.025560100084047
14989.soil.hip.CMU.16.04.2016.mo.day7	6.084576322297501
14989.soil.hip.CMU.16.04.2016.mo.day8	5.921434997742658
14989.soil.hip.CMU.16.04.2016.mo.day9	5.854029477084491
14989.soil.hip.CMU.16.05.2016.mo.day1	5.106406426930176
14989.soil.hip.CMU.16.05.2016.mo.day10	4.620804688882879
14989.soil.hip.CMU.16.05.2016.mo.day12	4.123805967084866
14989.soil.hip.CMU.16.05.2016.mo.day13	5.248065143867101
14989.soil.hip.CMU.16.05.2016.mo.day14	3.9553484270155113
14989.soil.hip.CMU.16.05.2016.mo.day16	5.272920955177218
14989.soil.hip.CMU.16.05.2016.mo.day18	4.93170811494133
14989.soil.hip.CMU.16.05.2016.mo.day19	4.89818785492443
14989.soil.hip.CMU.16.05.2016.mo.day2	5.545763605531958
14989.soil.hip.CMU.16.05.2016.mo.day21	3.9759949681528557
14989.soil.hip.CMU.16.05.2016.mo.day3	5.602043709279215
14989.soil.hip.CMU.16.05.2016.mo.day4	6.303493227996154
14989.soil.hip.SHSU.2016.007.2016.04.17.day3	5.60351617491353
14989.soil.hip.SHSU.2016.007.2016.04.18.day4	4.671573299954526
14989.soil.hip.SHSU.2016.007.2016.04.20.day6	3.2867844931354506
14989.soil.hip.SHSU.2016.007.2016.04.21.day7	4.095138079922329
14989.soil.hip.SHSU.2016.011.2016.04.15.day1	5.8690760094847665
14989.soil.hip.SHSU.2016.011.2016.04.16.day2	6.321039366655388
14989.soil.hip.SHSU.2016.011.2016.04.17.day3	0.6760323526477057
14989.soil.hip.SHSU.2016.011.2016.04.18.day4	3.3087103023625417
14989.soil.hip.SHSU.2016.011.2016.04.20.day6	3.519352496289675
14989.soil.hip.SHSU.2016.011.2016.04.21.day7	4.070657755694234
14989.soil.hip.SHSU.2016.024.2016.04.15.day1	6.0177039072600955
14989.soil.hip.SHSU.2016.024.2016.04.17.day3	5.967914728070386
14989.soil.hip.SHSU.2016.024.2016.04.18.day4	4.902397560243118
14989.soil.hip.SHSU.2016.024.2016.04.20.day6	3.2786988025662547
14989.soil.hip.SHSU.2016.024.2016.04.21.day7	3.8709343718928273
14989.soil.hip.UTK.K016.01.2016.04.05.day1	6.195152404856703
14989.soil.hip.UTK.K016.01.2016.04.06.day2	6.854574918522062
14989.soil.hip.UTK.K016.01.2016.04.08.day4	6.021134699615577
14989.soil.hip.UTK.K016.01.2016.04.09.day5	5.442590407691041
14989.soil.hip.UTK.K016.01.2016.04.10.day6	6.2136903088260675
14989.soil.hip.UTK.K016.01.2016.04.11.day7	6.951384828478376
14989.soil.hip.UTK.K016.01.2016.04.12.day8	6.378588626440505
14989.soil.hip.UTK.K016.01.2016.04.13.day9	5.604752799086334
14989.soil.hip.UTK.K016.01.2016.04.14.day10	5.7735111923772005
14989.soil.hip.UTK.K016.01.2016.04.15.day11	4.3382380311339475
14989.soil.hip.UTK.K016.01.2016.04.16.day12	4.265049786232624
14989.soil.hip.UTK.K016.01.2016.04.17.day13	3.4519774628468984
14989.soil.hip.UTK.K016.01.2016.04.18.day14	3.883703393168202
14989.soil.hip.UTK.K016.01.2016.04.21.day17	3.955074406254911
14989.soil.hip.UTK.K016.01.2016.04.22.day18	4.834458822718703
14989.soil.hip.UTK.K016.01.2016.04.23.day19	4.057302805320657
14989.soil.hip.UTK.K016.01.2016.04.24.day20	4.777971819312745
14989.soil.hip.UTK.K016.01.2016.04.25.day21	5.047296839092323
14989.soil.hip.UTK.K016.02.2016.04.13.day1	6.210589375145029
14989.soil.hip.UTK.K016.02.2016.04.14.day2	6.228513210748078
14989.soil.hip.UTK.K016.02.2016.04.16.day4	6.840595006400753
14989.soil.hip.UTK.K016.02.2016.04.18.day6	6.07861600469491
14989.soil.hip.UTK.K016.02.2016.04.24.day12	5.33506144770962
14989.soil.hip.UTK.K016.02.2016.04.25.day13	6.585911087730093
14989.soil.hip.UTK.K016.02.2016.04.26.day14	4.744512870469165
14989.soil.hip.UTK.K016.02.2016.04.27.day15	5.472257085902366
14989.soil.hip.UTK.K016.02.2016.04.28.day16	5.173063560121693
14989.soil.hip.UTK.K016.02.2016.04.29.day17	5.571479381912783
14989.soil.hip.UTK.K016.02.2016.04.30.day18	4.7206330366582225
14989.soil.hip.UTK.K016.02.2016.05.01.day19	5.797466550919472
14989.soil.hip.UTK.K016.02.2016.05.03.day21	5.802253685326304
14989.soil.hip.UTK.K016.03.2016.05.06.day1	6.39805594729044
14989.soil.hip.UTK.K016.03.2016.05.07.day2	7.222587137447814
14989.soil.hip.UTK.K016.03.2016.05.08.day3	6.7327439137369245
14989.soil.hip.UTK.K016.03.2016.05.10.day5	5.474332394602943
14989.soil.hip.UTK.K016.03.2016.05.11.day6	6.3191421301592605
14989.soil.hip.UTK.K016.03.2016.05.13.day8	5.984455029788095
14989.soil.hip.UTK.K016.03.2016.05.14.day9	5.5198698472851095
14989.soil.hip.UTK.K016.03.2016.05.15.day10	6.122978969442763
14989.soil.hip.UTK.K016.03.2016.05.16.day11	4.794111531471742
